,IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate
79330,0,248,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79331,0,248,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79332,0,63,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79333,0,63,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79334,0,248,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,2,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79335,0,248,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79336,0,62,2017,April,15,9,2,0,2,0.0,0,SC       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79337,0,173,2017,April,14,7,2,2,3,0.0,0,BB       ,DNK,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,          9,       NULL,0,Transient,149.4,0,0,Check-Out,2017-04-11
79338,0,173,2017,April,14,7,2,2,2,0.0,0,BB       ,DNK,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79339,0,248,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79340,0,136,2017,April,14,4,2,5,2,0.0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,A               ,2,No Deposit     ,          9,       NULL,0,Transient,117.0,0,1,Check-Out,2017-04-11
79341,0,28,2017,April,15,9,2,0,2,0.0,0,BB       ,GBR,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,          7,       NULL,0,Transient,120.0,0,1,Check-Out,2017-04-11
79342,0,83,2017,April,14,8,2,1,2,0.0,0,BB       ,IRL,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,          9,       NULL,0,Transient,127.8,0,0,Check-Out,2017-04-11
79343,0,111,2017,April,14,8,2,1,2,2.0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,F               ,F               ,0,No Deposit     ,          9,       NULL,0,Transient,189.0,0,2,Check-Out,2017-04-11
79344,0,4,2017,April,15,9,2,0,2,0.0,0,SC       ,FRA,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          9,       NULL,0,Transient,150.0,0,2,Check-Out,2017-04-11
79345,0,62,2017,April,15,9,2,0,2,0.0,0,SC       ,FRA,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          9,       NULL,0,Transient,99.0,0,1,Check-Out,2017-04-11
79346,0,189,2017,April,14,6,2,3,2,0.0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         83,       NULL,0,Transient,88.4,0,0,Check-Out,2017-04-11
79347,0,248,2017,April,15,9,2,0,2,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79348,0,8,2017,April,14,8,2,1,2,0.0,0,SC       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          9,       NULL,0,Transient,115.0,0,0,Check-Out,2017-04-11
79349,0,79,2017,April,14,7,2,2,2,1.0,0,BB       ,BEL,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,         28,       NULL,0,Transient,100.0,0,0,Check-Out,2017-04-11
79350,0,36,2017,April,15,9,2,0,2,0.0,0,BB       ,ESP,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          9,       NULL,0,Transient,149.0,0,1,Check-Out,2017-04-11
79351,0,191,2017,April,14,6,2,3,2,0.0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         83,       NULL,0,Transient,88.4,0,0,Check-Out,2017-04-11
79352,0,51,2017,April,15,9,2,0,3,0.0,0,HB       ,ESP,Online TA,TA/TO,0,0,0,E               ,E               ,0,No Deposit     ,          9,       NULL,0,Transient,205.2,1,3,Check-Out,2017-04-11
79353,0,80,2017,April,14,8,2,1,2,0.0,0,HB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,         28,       NULL,0,Transient,115.0,0,0,Check-Out,2017-04-11
79354,0,80,2017,April,14,8,2,1,1,2.0,0,HB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,         28,       NULL,0,Transient,122.0,0,0,Check-Out,2017-04-11
79355,0,80,2017,April,14,8,2,1,2,0.0,0,HB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,         28,       NULL,0,Transient,115.0,0,0,Check-Out,2017-04-11
79356,0,80,2017,April,14,8,2,1,1,2.0,0,HB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,         28,       NULL,0,Transient,122.0,0,0,Check-Out,2017-04-11
79357,0,80,2017,April,14,8,2,1,2,0.0,0,HB       ,FRA,Offline TA/TO,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,         28,       NULL,0,Transient,115.0,0,0,Check-Out,2017-04-11
79358,0,13,2017,April,15,10,1,0,2,0.0,0,BB       ,ESP,Direct,Direct,0,0,0,D               ,D               ,0,No Deposit     ,         14,       NULL,0,Transient,139.0,0,0,Check-Out,2017-04-11
79359,0,9,2017,April,14,8,2,1,2,0.0,0,SC       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          7,       NULL,0,Transient,87.4,0,1,Check-Out,2017-04-11
79360,0,104,2017,April,14,6,2,3,2,1.0,0,BB       ,FRA,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         83,       NULL,0,Transient,101.15,0,0,Check-Out,2017-04-11
79361,0,229,2017,April,15,10,1,0,2,0.0,0,SC       ,GBR,Online TA,TA/TO,0,0,0,A               ,D               ,0,No Deposit     ,          9,       NULL,0,Transient,99.0,0,1,Check-Out,2017-04-11
79362,0,34,2017,April,14,4,2,5,2,0.0,0,HB       ,CIV,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          9,       NULL,0,Transient,178.0,0,0,Check-Out,2017-04-11
