Unnamed: 0,IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,Country,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,AssignedRoomType,BookingChanges,DepositType,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,ReservationStatus,ReservationStatusDate
79330,0,248,2017,April,15,9,2.0,0.0,2.0,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79331,0,248,2017,April,15,9,2.0,0.0,2.0,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79332,0,63,2017,April,15,9,2.0,0.0,2.0,0.0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79333,0,63,2017,April,15,9,2.0,0.0,2.0,0.0,0,BB       ,DEU,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79334,0,248,2017,April,15,9,2.0,0.0,2.0,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,2,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79335,0,248,2017,April,15,9,2.0,0.0,2.0,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
79336,0,62,2017,April,15,9,2.0,0.0,2.0,0.0,0,SC       ,GBR,Online TA,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79337,0,173,2017,April,14,7,2.0,2.0,3.0,0.0,0,BB       ,DNK,Online TA,TA/TO,0,0,0,D               ,D               ,0,No Deposit     ,          9,       NULL,0,Transient,149.4,0,0,Check-Out,2017-04-11
79338,0,173,2017,April,14,7,2.0,2.0,2.0,0.0,0,BB       ,DNK,Online TA,TA/TO,0,0,0,A               ,A               ,1,No Deposit     ,          9,       NULL,0,Transient,99.0,0,0,Check-Out,2017-04-11
79339,0,248,2017,April,15,9,2.0,0.0,2.0,0.0,0,BB       ,DEU,Groups,TA/TO,0,0,0,A               ,A               ,0,No Deposit     ,         58,       NULL,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
